year,ISO_code,region,ef_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation
2016,RWA,Sub-Saharan Africa,7.33,5.3,7.2,9.3,7.0,7.8
2016,SAU,Middle East & North Africa,6.44,5.2,5.19,9.0,6.0,6.8
2016,SEN,Sub-Saharan Africa,6.04,6.5,4.3,7.2,6.7,5.6
2016,SRB,Eastern Europe,6.87,6.5,4.9,8.1,7.6,7.2
2016,SYC,Sub-Saharan Africa,7.17,6.1,5.67,9.0,7.8,7.4
2016,SLE,Sub-Saharan Africa,5.69,6.7,4.0,6.9,6.1,4.7
2016,SGP,South Asia,8.69,7.2,8.2,9.8,9.3,9.0
2016,SVK,Eastern Europe,7.41,6.1,5.6,9.5,8.3,7.6
2016,SVN,Eastern Europe,7.13,5.2,6.2,9.5,7.9,6.8
2016,ZAF,Sub-Saharan Africa,6.58,5.7,5.2,8.1,6.8,7.2
2016,ESP,Western Europe,7.65,6.5,6.8,9.5,8.1,7.4
2016,LKA,South Asia,6.62,7.7,4.9,7.7,5.9,6.9
2016,SDN,Sub-Saharan Africa,5.06,8.0,3.0,5.5,2.9,5.9
2016,SUR,Latin America & the Caribbean,6.31,6.6,5.22,6.0,7.2,6.6
2016,SWE,Western Europe,7.63,4.6,7.8,9.3,8.2,8.2
2016,CHE,Western Europe,8.44,7.7,8.5,9.9,7.6,8.5
2016,SYR,Middle East & North Africa,4.93,5.7,3.4,5.1,4.9,5.4
2016,TWN,East Asia,7.85,7.4,6.8,9.7,7.7,7.7
2016,TJK,Caucasus & Central Asia,6.26,5.4,5.12,7.6,6.4,6.8
2016,TZA,Sub-Saharan Africa,6.74,6.7,5.7,8.2,6.2,7.0
2016,THA,South Asia,6.83,6.6,4.7,8.6,7.1,7.1
2016,TLS,South Asia,6.29,4.8,3.54,8.7,7.1,7.4
2016,TGO,Sub-Saharan Africa,6.04,7.1,4.3,7.0,5.5,6.3
2016,TTO,Latin America & the Caribbean,6.71,5.5,4.5,9.1,7.8,6.6
2016,TUN,Middle East & North Africa,6.25,5.6,5.3,7.1,6.9,6.4
2016,TUR,Middle East & North Africa,6.83,6.5,4.8,9.0,7.2,6.6
2016,UGA,Sub-Saharan Africa,7.31,8.0,4.7,8.6,7.5,7.7
2016,UKR,Eastern Europe,5.92,7.1,4.5,4.9,6.6,6.5
2016,ARE,Middle East & North Africa,7.33,5.9,6.1,9.1,8.2,7.4
2016,GBR,Western Europe,8.06,6.2,7.8,9.8,8.4,8.0
2016,USA,North America,8.17,7.1,7.4,9.8,7.7,8.8
2016,URY,Latin America & the Caribbean,7.06,6.4,5.4,9.0,7.8,6.8
2016,VEN,Latin America & the Caribbean,2.65,4.8,2.0,0.7,3.3,2.5
2016,VNM,South Asia,6.26,6.8,5.1,6.5,6.3,6.7
2016,YEM,Middle East & North Africa,6.16,6.7,3.13,9.0,6.7,5.2
2016,ZMB,Sub-Saharan Africa,6.66,6.2,5.3,8.3,7.1,6.4
2016,ZWE,Sub-Saharan Africa,6.02,5.9,3.8,8.3,5.6,6.5
2015,ALB,Eastern Europe,7.64,7.9,5.0,9.6,8.1,7.6
2015,DZA,Middle East & North Africa,4.8,3.2,4.6,6.9,4.0,5.4
2015,AGO,Sub-Saharan Africa,5.61,7.3,3.0,6.9,5.2,5.7
2015,ARG,Latin America & the Caribbean,5.06,5.7,3.8,6.5,3.8,5.5
2015,ARM,Caucasus & Central Asia,7.67,7.5,5.8,9.5,8.2,7.4
2015,AUS,Oceania,8.03,6.8,8.0,9.4,7.6,8.5
2015,AUT,Western Europe,7.74,5.6,8.0,9.6,8.1,7.4
2015,AZE,Caucasus & Central Asia,6.33,5.0,5.3,7.3,7.1,7.0
2015,BHS,Latin America & the Caribbean,7.35,8.3,6.8,6.8,6.7,8.2
2015,BHR,Middle East & North Africa,7.11,5.5,5.3,9.2,7.4,8.2
2015,BGD,South Asia,6.21,8.3,3.0,7.0,6.0,6.7
2015,BRD,Latin America & the Caribbean,6.5,6.5,5.8,6.7,7.0,6.5
2015,BLR,Eastern Europe,null,null,null,null,null,null
2015,BEL,Western Europe,7.57,4.8,7.3,9.7,8.3,7.9
2015,BLZ,Latin America & the Caribbean,6.8,7.0,5.1,6.9,7.1,7.9
2015,BEN,Sub-Saharan Africa,5.76,6.5,3.6,6.9,5.9,5.9
2015,BTN,South Asia,6.96,7.0,6.86,7.0,6.3,7.6
2015,BOL,Latin America & the Caribbean,6.0,5.9,3.6,8.7,6.8,5.0
2015,BIH,Eastern Europe,6.69,5.7,4.2,8.5,7.8,7.3
